ID;lat;long;altitude;median_water_depth;name;description;aquifer_name;confinement
335629078115406;33.94111111;-78.19861111;11.2776;3.240024;BR-079 SUNSET HARBOR RS (PEEDEE);https://cida.usgs.gov/ngwmn/provider/USGS/site/335629078115406/;Peedee Formation;Confined
335631078003604;33.94194444;-78.00972222;8.558784;6.839712;BR-081 (NC-197) SOUTHPORT RS (PEEDEE);https://cida.usgs.gov/ngwmn/provider/USGS/site/335631078003604/;Peedee Formation;Confined
335631078003605;33.94194444;-78.00972222;8.613648;6.449568;BR-082 (NC-198) SOUTHPORT RS (CASTLE HAYNE);https://cida.usgs.gov/ngwmn/provider/USGS/site/335631078003605/;Castle Hayne Limestone;Confined
335849078054301;33.98027778;-78.09527778;16.623792;11.463528;BR-100 WELL 15A (CASTLE HAYNE/PEEDEE);https://cida.usgs.gov/ngwmn/provider/USGS/site/335849078054301/;Peedee Formation;Confined
340416078084202;34.07138889;-78.14486111;12.192;2.837688;BR-078 (NC-180) NCDEQ BOLIVIA RS FF33D2 (PEEDEE);https://cida.usgs.gov/ngwmn/provider/USGS/site/340416078084202/;Peedee Formation;Confined
344520079281001;34.755;-79.46722222;64.3128;3.745992;SC-040 AT LAURINBURG, NC (BLACK CREEK);https://cida.usgs.gov/ngwmn/provider/USGS/site/344520079281001/;Black Creek Aquifer;Confined
344544079263701;34.76222222;-79.44361111;64.3128;5.640324;SC-142 AT LAURINBURG, NC (BLACK CREEK);https://cida.usgs.gov/ngwmn/provider/USGS/site/344544079263701/;Black Creek Aquifer;Confined
345051078012109;34.84777778;-78.02097222;25.908;2.075688;DU-157 ROSE HILL RS V32v9 (NC-222R) (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/345051078012109/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
345809077301408;34.97;-77.50333333;19.952208;1.740408;JO-035 (NC-173), NCDENR COMFORT RS (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/345809077301408/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
345812079313401;34.97055556;-79.52833333;131.15544;9.244584;SC-080 (NC-194) NR MARSTON, NC (BLACK CREEK);https://cida.usgs.gov/ngwmn/provider/USGS/site/345812079313401/;Black Creek Aquifer, Upper;Unconfined
351121083545002;35.18916667;-83.91388889;523.25016;1.69164;CE-029 (NC-192) AT MARBLE, NC (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/351121083545002/;Regolith;Unconfined
351709082434101;35.28583333;-82.72805556;663.48864;4.255008;TR-066 (NC-147) PISGAH FOREST (ALLUVIUM);https://cida.usgs.gov/ngwmn/provider/USGS/site/351709082434101/;Regolith;Unconfined
351808082374302;35.30277778;-82.62833333;654.558;8.887968;TR-065 (NC-144) AT BLANTYRE, NC (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/351808082374302/;Regolith;Unconfined
351849078163901;35.30972222;-78.27277778;56.60136;1.223772;WA-154 (NC-148) NR GRANTHAM, NC (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/351849078163901/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
352012081154301;35.33680556;-81.26206944;284.006544;11.530584;GS-289 PASOUR MTN RS REGOLITH WELL, PM-25;https://cida.usgs.gov/ngwmn/provider/USGS/site/352012081154301/;Regolith;Unconfined
352012081154302;35.33680556;-81.26206944;282.189936;9.87552;GS-290 PASOUR MTN RS TRANSITION ZONE WELL, PM-3;https://cida.usgs.gov/ngwmn/provider/USGS/site/352012081154302/;Transition Zone;Unconfined
353135080524201;35.52638889;-80.87833333;244.81536;5.361432;IR-130 LANGTREE RS MW-2S NR MT MOURNE (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/353135080524201/;Regolith;Unconfined
353135080524202;35.52666667;-80.87833333;244.7544;5.34924;IR-131 LANGTREE RS MW-2I (TRANSITION ZONE);https://cida.usgs.gov/ngwmn/provider/USGS/site/353135080524202/;Transition Zone;Unconfined
353135080524203;35.52666667;-80.87833333;244.66296;6.9342;IR-132 LANGTREE RS MW-2D (QUARTZ DIORITE);https://cida.usgs.gov/ngwmn/provider/USGS/site/353135080524203/;Intermediate Intrusive Igneous Rock;Confined
353219077153801;35.53833333;-77.26138889;16.770096;1.161288;PI-532 (NC-160) NR SIMPSON, NC (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/353219077153801/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
353827076293001;35.6407583;-76.49165278;3.3528;0.246888;HY-194 AT POCOSIN LAKES NWR (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/353827076293001/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
354057080362601;35.68278333;-80.60704722;206.07528;2.069592;RO-149 (NC-193) PIEDMONT RS 1 NR BARBER (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/354057080362601/;Regolith;Unconfined
354133082042201;35.69261111;-82.07294444;409.8036;8.970264;MC-107 NEAR PLEASANT GARDENS RS, NC (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/354133082042201/;Regolith;Unconfined
354133082042203;35.69261111;-82.07294444;409.83408;9.000744;MC-109 NEAR PLEASANT GARDENS, NC (BEDROCK);https://cida.usgs.gov/ngwmn/provider/USGS/site/354133082042203/;Bedrock Undifferentiated;Unconfined
354302081433201;35.71722222;-81.72555556;315.83376;2.426208;BK-126 GLEN ALPINE RS NEAR MORGANTON, NC (BEDROCK);https://cida.usgs.gov/ngwmn/provider/USGS/site/354302081433201/;Bedrock Undifferentiated;Unconfined
354302081433202;35.7172222;-81.7255556;315.68136;3.401568;BK-127 GLEN ALPINE RS NR MORGANTON, NC (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/354302081433202/;Regolith;Unconfined
354418076463601;35.73888889;-76.77527778;10.158984;0.771144;WS-100 (NC-158) NR HOKE, NC (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/354418076463601/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
355359080331701;35.89981944;-80.55478056;253.499112;5.05968;DV-025 (NC-142) NR MOCKSVILLE, NC (REGOLITH);https://cida.usgs.gov/ngwmn/provider/USGS/site/355359080331701/;Regolith;Unconfined
355457078232701;35.9158333;-78.3908333;93.5736;2.328672;WK-432 PULLEY TOWN RD NR ROLESVILLE, NC (BEDROCK);https://cida.usgs.gov/ngwmn/provider/USGS/site/355457078232701/;Felsic Intrusive Igneous Rock;Unconfined
355944079013401;35.99569167;-79.02604722;148.16328;11.073384;OR-691 DUKE FOREST RS DF-1I NR EUBANKS, NC (TR ZN);https://cida.usgs.gov/ngwmn/provider/USGS/site/355944079013401/;Transition Zone;Unconfined
361829076163201;36.30833333;-76.27527778;3.6576;1.240536;PK-141 (NC-195) NR ELIZABETH CITY, NC (SURFICIAL);https://cida.usgs.gov/ngwmn/provider/USGS/site/361829076163201/;Post Miocene (Quaternary + Pliocene) Rocks;Unconfined
AA27L1;34.452033;-77.615114;19.5962016;7.799832;Topsail Fire Tower;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/AA27L1/;Surficial (S);Unconfined
AA27L2;34.452033;-77.615114;19.5748656;10.274808;Topsail Fire Tower;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/AA27L2/;Castle Hayne (Tch);Confined
AA27L3;34.452033;-77.615114;19.5200016;10.966704;Topsail Fire Tower;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/AA27L3/;Peedee (Kpd);Confined
